Area,Taluk,Pin Code,Latitude,Longitude
A F Station Yelahanka,Bangalore North,560063,13.12682,77.61066
Agram,Bangalore South,560007,12.9984,77.57169
Amruthahalli,Bangalore North,560092,12.96348,77.70202
Anandnagar Bangalore,Bangalore North,560024,13.03344005,77.61934508
Arabic College,Bangalore North,560045,13.10638,77.56584
Attur,Bangalore North,560064,12.96348,77.61297
Austin Town,Bangalore North,560047,13.01964673,77.65469401
Banaswadi,Bangalore North,560043,13.1996,77.70939
Bangalore International Airport,Bangalore North,560300,12.96618,77.5869
Bangalore Sub Foreign Post,Bangalore North,560025,12.92735,77.67185
Bellandur,Bangalore South,560103,13.00142,77.60193
Benson Town,Bangalore North,560046,13.02002,77.70978
Bhattarahalli,Bangalore North,560049,12.98713,77.66386
C.V.Raman Nagar,Bangalore North,560093,13.06996,77.67397
CMM Court Complex,Bangalore North,560001,12.96999,77.69716
Devanagundi,Bangalore South,560067,12.96618,77.5869
Devasandra,Bangalore North,560036,12.99894,77.61276
Doddagubbi,Bangalore North,560077,13.07252,77.59254001
Doddanekkundi,Bangalore North,560037,12.9191,77.73656
Domlur,Bangalore North,560071,13.02210278,77.53511834
Doorvaninagar,Bangalore North,560016,12.9886725,77.60268336
EPIP,Bangalore North,560066,13.03451,77.57102
Fraser Town,Bangalore North,560005,13.00771,77.59416
G.K.V.K.,Bangalore North,560065,12.96601,77.65767
Gunjur,Bangalore North,560087,13.00548,77.62597
H.A.L II Stage,Bangalore North,560008,12.96618,77.5869
H.K.P. Road,Bangalore North,560051,13.02497,77.61105
Hoodi,Bangalore North,560048,12.94402,77.608
Indiranagar Bangalore,Bangalore North,560038,13.05308,77.49786
ISRO Anthariksha Bhavan,Bangalore North,560094,12.98527,77.5688
J.C.Nagar,Bangalore North,560006,12.92683,77.55017
Jeevanbhimanagar,Bangalore North,560075,12.80132,77.57898
Lingarajapuram,Bangalore North,560084,12.8877,77.48768
Maruthi Sevanagar,Bangalore North,560033,12.84547,77.6643
NAL,Bangalore North,560017,12.92872,77.58281
P&T Col. Kavalbyrasandra,Bangalore North,560032,12.93912,77.62332
Sadashivanagar,Bangalore North,560080,13.02095998,77.67627003
Sivan Chetty Gardens,Bangalore North,560042,12.99934,77.55511
Adugodi,Bangalore South,560030,13.01481,77.53891
Agara,Bangalore South,560034,13.06,77.61034
Anjanapura,Bangalore South,560108,12.94385,77.59711
Ashoknagar Bangalore,Bangalore South,560050,12.99355,77.57988
B Sk II Stage,Bangalore South,560070,13.10124,77.48206
Banashankari III Stage,Bangalore South,560085,13.07927,77.55914
Bangalore Corporation Building,Bangalore South,560002,12.70956,77.69804
Bannerghatta Road,Bangalore South,560076,12.77971,77.77058
Bannerghatta,Bangalore South,560083,13.13182,77.67001
Basavanagudi,Bangalore South,560004,13.15502,77.60501
Begur,Bangalore South,560068,12.88264,77.35592
Bnagalore Viswavidalaya,Bangalore South,560056,13.07622,77.43457
Bolare,Bangalore South,560082,12.88492,77.74721
Bommasandra Industrial Estate,Bangalore South,560099,12.8159,77.6794
Carmelram,Bangalore South,560035,12.9062,77.7066
Chamrajpet Bangalore,Bangalore South,560018,12.957,77.5621
Chickpet,Bangalore South,560053,12.9709,77.5763
Chikkalasandra,Bangalore South,560061,12.9121,77.5462
Chudenapura,Bangalore South,560060,12.8020962,77.7151
Deepanjalinagar,Bangalore South,560026,12.9526,77.5293
Dharmaram College,Bangalore South,560029,12.9365,77.6026
Doddakallasandra,Bangalore South,560062,12.8807,77.5576
Electronics City,Bangalore South,560100,12.8452,77.6602
Gaviopuram Extension,Bangalore South,560019,12.9548,77.5657
Haragadde,Anekal,560105,12.7638,77.6507
HSR Layout,Bangalore South,560102,12.9121,77.6446
J P Nagar,Bangalore South,560078,12.9063,77.5857
Jayanagar,Bangalore South,560041,12.9308,77.5838
Jayangar III Block,Bangalore South,560011,12.9329,77.5839
Koramangala VI Bk,Bangalore South,560095,12.9382,77.6228
Kumbalagodu,Bangalore South,560074,12.8794,77.4451
Nayandahalli,Bangalore South,560039,12.9446,77.5256
Rv Niketan,Bangalore South,560059,12.8436,77.4372
Sampangiramnagar,Bangalore South,560027,12.9937,77.5747
Thalaghattapura,Bangalore South,560109,12.8681,77.5342
Ullalu Upanagar,Bangalore North,560110,12.9623,77.4757
Bagalgunte,Bangalore North,560073,13.0527,77.4955
Bangalore Dist Offices Bldg,Bangalore North,560009,12.9312,77.6919
Bapagrama,Bangalore North,560091,12.9987,77.4573
Basaveshwaranagar,Bangalore North,560079,12.988,77.5375
Chandra Lay Out,Bangalore North,560040,12.9545,77.5228
Gayathrinagar,Bangalore North,560021,13.0007,77.5576
Hampinagar,Bangalore North,560104,12.9624,77.5366
Industrial Estate Bangalore,Bangalore North,560010,15.3545,75.114
Jalahalli East,Bangalore North,560014,13.0699,77.5449
Jalahalli,Bangalore North,560013,13.0454,77.5479
Jalahalli West,Bangalore North,560015,13.0612,77.5193
Kodigehalli,Bangalore South,560112,13.0697,77.5788
Laggere,Bangalore North,560058,13.0098,77.525
Magadi Road,Bangalore North,560023,12.9757,77.555
Mahalakshmipuram Layout,Bangalore North,560086,13.0146,77.5514
Malleswaram,Bangalore North,560003,13.0031,77.571
Malleswaram West,Bangalore North,560055,13.0055,77.5692
Mathikere,Bangalore North,560054,13.0212,77.565781
Nagarbhavi,Bangalore North,560072,12.9719,77.5127
Nandinilayout,Bangalore North,560096,13.0137,77.5337
Peenya Dasarahalli,Bangalore North,560057,13.0508,77.5154
Science Institute,Bangalore North,560012,12.9266,77.5627
Seshadripuram,Bangalore North,560020,12.9889,77.574
Tarabanahalli,Bangalore North,560090,13.1917,77.6164
Vidyaranyapura,Bangalore North,560097,13.0811,77.5562
Yeshwanthpur Bazar,Bangalore North,560022,13.0279,77.5409
Anekal,Anekal,562106,12.7091,77.6992
Attibele,Anekal,562107,12.779,77.7702
Bagalur Bangalore,Bangalore North,562149,12.8304,77.8662
Bettahalsur,Bangalore North,562157,13.1623,77.6099
Chikkanahalli,Bangalore South,562130,12.8813,77.3549
Dasanapura,Bangalore North,562162,13.0701,77.4291
Dommasandra,Anekal,562125,12.8797,77.7536
