Area,Taluk,Pin Code
A F Station Yelahanka,Bangalore North,560063
Agram,Bangalore South,560007
Air Force Hospital,Bangalore North,560007
Amruthahalli,Bangalore North,560092
Anandnagar Bangalore,Bangalore North,560024
Arabic College,Bangalore North,560045
Attur,Bangalore North,560064
Austin Town,Bangalore North,560047
Banaswadi,Bangalore North,560043
Bangalore International Airport,Bangalore North,560300
Bangalore Sub Foreign Post,Bangalore North,560025
Bellandur,Bangalore South,560103
Benson Town,Bangalore North,560046
Bhattarahalli,Bangalore North,560049
Bidrahalli,Bangalore South,560049
BSF Campus Yelahanka,Bangalore North,560063
Byatarayanapura,Bangalore North,560092
C.V.Raman Nagar,Bangalore North,560093
CMM Court Complex,Bangalore North,560001
CMP Centre & School,Bangalore North,560025
CRPF Campus Yelahanka,Bangalore North,560064
Devanagundi,Bangalore South,560067
Devasandra,Bangalore North,560036
Doddagubbi,Bangalore North,560077
Doddanekkundi,Bangalore North,560037
Domlur,Bangalore North,560071
Doorvaninagar,Bangalore North,560016
Dr. Ambedkar Veedhi,Bangalore North,560001
Dr. Shivarama Karanth Nagar,Bangalore North,560077
EPIP,Bangalore North,560066
Fraser Town,Bangalore North,560005
G.K.V.K.,Bangalore North,560065
Gunjur,Bangalore North,560087
H.A. Farm,Bangalore North,560024
H.A.L II Stage,Bangalore North,560008
H.K.P. Road,Bangalore North,560051
Hebbal Kempapura,Bangalore North,560024
HighCourt,Bangalore North,560001
Hoodi,Bangalore North,560048
Horamavu,Bangalore North,560043
Hulsur Bazaar,Bangalore North,560008
Indiranagar Bangalore,Bangalore North,560038
ISRO Anthariksha Bhavan,Bangalore North,560094
J.C.Nagar,Bangalore North,560006
Jakkur,Bangalore North,560064
Jalavayuvihar,Bangalore North,560043
Jeevanbhimanagar,Bangalore North,560075
Kadugodi Extention SO,Bangalore South,560067
Kadugodi,Bangalore South,560067
Kalyananagar,Bangalore North,560043
Kannamangala,Bangalore South,560067
Kothanur,Bangalore North,560077
Krishnarajapuram R S,Bangalore North,560016
Krishnarajapuram,Bangalore North,560036
Kundalahalli,Bangalore North,560037
Legislators Home,Bangalore North,560001
Lingarajapuram,Bangalore North,560084
Mahadevapura,Bangalore North,560048
Mahatma Gandhi Road,Bangalore North,560001
Marathahalli Colony,Bangalore North,560037
Maruthi Sevanagar,Bangalore North,560033
Medimallasandra,Bangalore South,560067
Mundur,Bangalore South,560049
Museum Road,Bangalore North,560025
Muthusandra,Bangalore South,560087
NAL,Bangalore North,560017
New Thippasandra,Bangalore North,560075
P&T Col. Kavalbyrasandra,Bangalore North,560032
Panathur,Bangalore South,560103
R T Nagar,Bangalore North,560032
R.M.V. Extension II Stage,Bangalore North,560094
Rajanakunte,Bangalore North,560064
Rajbhavan Bangalore,Bangalore North,560001
Ramamurthy Nagar,Bangalore North,560016
Rameshnagar,Bangalore North,560037
Richmond Town,Bangalore North,560025
Sadashivanagar,Bangalore North,560080
Sahakaranagar P.O,Bangalore North,560092
Singanayakanahalli,Bangalore North,560064
Sivan Chetty Gardens,Bangalore North,560042
St. Thomas Town,Bangalore North,560084
Training Command IAF,Bangalore North,560006
Vartur,Bangalore South,560087
Vasanthanagar,Bangalore North,560001
Venkateshapura,Bangalore North,560045
Vidhana Soudha,Bangalore North,560001
Vimanapura,Bangalore North,560017
Virgonagar,Bangalore North,560049
Viveknagar Bangalore,Bangalore South,560047
Whitefield,Bangalore South,560066
Yelahanka,Bangalore North,560064
Yelahanka Satellite Town,Bangalore North,560064
Bangalore G.P.O.,Bangalore North,560001
Adugodi,Bangalore South,560030
Agara,Bangalore South,560034
Anjanapura,Bangalore South,560108
Ashoknagar Bangalore,Bangalore South,560050
B Sk II Stage,Bangalore South,560070
Banashankari III Stage,Bangalore South,560085
Banashankari,Bangalore South,560050
Bangalore Corporation Building,Bangalore South,560002
Bannerghatta Road,Bangalore South,560076
Bannerghatta,Bangalore South,560083
Basavanagudi,Bangalore South,560004
Begur,Bangalore South,560068
Bnagalore Viswavidalaya,Bangalore South,560056
Bolare,Bangalore South,560082
Bommanahalli Bangalore,Bangalore South,560068
Bommasandra Industrial Estate,Bangalore South,560099
Carmelram,Bangalore South,560035
Chamrajpet Bangalore,Bangalore South,560018
Chandapura,Bangalore South,560099
Chickpet,Bangalore South,560053
Chikkalasandra,Bangalore South,560061
Chudenapura,Bangalore South,560060
DasarahalliSrinagar,Bangalore South,560050
Deepanjalinagar,Bangalore South,560026
Dharmaram College,Bangalore South,560029
Doddakallasandra,Bangalore South,560062
Electronics City,Bangalore South,560100
Gaviopuram Extension,Bangalore South,560019
Girinagar Bangalore,Bangalore South,560085
Gottigere,Bangalore South,560083
Governmemnt Electric Factory,Bangalore South,560026
Haragadde,Anekal,560105
Hennagara,Anekal,560105
HSR Layout,Bangalore South,560102
Hulimangala,Anekal,560105
Hulimavu,Bangalore South,560076
J P Nagar,Bangalore South,560078
